"Target.Color","Target.stim","Condition","Outer.Color","C1","C2","C3","C4","C5","C6","Congruency","random"
"Purple","70,0,185","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",528
"Blue","50,0,205","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",529
"Purple","95,0,160","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",530
"Blue","1,0,254","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",531
"Purple","90,0,165","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",532
"Purple","85,0,170","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",533
"Purple","80,0,175","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","incongruent",534
"Blue","30,0,225","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",535
"Purple","60,0,195","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",536
"Blue","30,0,225","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",537
"Purple","100,0,155","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","congruent",538
"Purple","60,0,195","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","incongruent",539
"Purple","70,0,185","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",540
"Purple","100,0,155","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","congruent",541
"Purple","95,0,160","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","congruent",542
"Purple","90,0,165","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",543
"Purple","80,0,175","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",544
"Purple","95,0,160","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","congruent",545
"Blue","5,0,250","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",546
"Blue","1,0,254","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",547
"Purple","95,0,160","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",548
"Blue","25,0,230","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",549
"Blue","30,0,225","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",550
"Blue","50,0,205","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",551
"Purple","95,0,160","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",552
"Purple","75,0,180","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","incongruent",553
"Purple","100,0,155","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","congruent",554
"Purple","90,0,165","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",555
"Purple","65,0,190","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",556
"Purple","90,0,165","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",557
"Blue","50,0,205","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",558
"Blue","15,0,240","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",559
"Blue","5,0,250","Low.5","Blue","43,0,212","41,0,214","38,0,217","36,0,219","34,0,221","29,0,226","congruent",560
"Purple","100,0,155","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","congruent",561
"Blue","20,0,235","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",562
"Purple","65,0,190","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","congruent",563
"Purple","100,0,155","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",564
"Purple","95,0,160","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",565
"Purple","90,0,165","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",566
"Blue","15,0,240","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",567
"Blue","10,0,245","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",568
"Blue","20,0,235","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",569
"Purple","85,0,170","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",570
"Purple","95,0,160","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",571
"Purple","60,0,195","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","congruent",572
"Blue","25,0,230","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",573
"Blue","15,0,240","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","incongruent",574
"Blue","30,0,225","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",575
"Blue","10,0,245","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",576
"Blue","35,0,220","Mid.2","Purple","80,0,175","77,0,178","73,0,182","70,0,185","67,0,188","60,0,195","incongruent",577
